Date ,Site ,Partner,Notes,SAR to look out for,Add Notes,#,Org,Site,Days Allocated,Days Scheduled,Time Frame,
17-Jul,S_ID_E_,PEPAKEN HAUTW,volunteer event,,,,,,,,,
18-Jul,HAT Other,,Michael BBQ Day in Saltair Afternoon - Office AM,,Lauren Off,,,,,,,
19-Jul,,,,,,,,,,,,
20-Jul,,,,,,,,,,,,
21-Jul,,,,,,,,,,,,
22-Jul,,,,,,,,,,,,
23-Jul,S_ID_E_,PEPAKEN HAUTW,PEPAKEN HAUTW + HAT Staff Day - collab meeting,,,,,,,,,
24-Jul,Matson Conservation Area,HAT,,,,,,,,,,
25-Jul,Matson Conservation Area,HAT,,,,,,,,,,
26-Jul,W_Sêü_EM Ivy Project,Sarah Jim,,,,,,,,,,
27-Jul,,,,,,,,,,,,
28-Jul,,,,,,,,,,,,
29-Jul,Oak Bay Parks,,Walbran Park,,,,,,,,,
30-Jul,Oak Bay Parks,,Walbran Park,,,,,,,,,
31-Jul,Oak Bay Parks,,Walbran Park,,,,,,,,,
01-Aug,Oak Bay Parks,,Walbran Park,,,,,,,,,
02-Aug,Oak Bay Parks,,Walbran Park,,Lauren Off,,,,,,,
03-Aug,,,,,,,,,,,,
04-Aug,,,,,,,,,,,,
05-Aug,BC DAY STAT,,,,,,,,,,,
06-Aug,,,,,,,,,,,,
07-Aug,Oak Bay Parks,,Walbran Park,,,,,,,,,
08-Aug,Harewood Plains,,Nanaimo,,,,,,,,,
09-Aug,Harewood Plains,,Nanaimo,,,,,,,,,
10-Aug,,,,,,,,,,,,
11-Aug,,,,,,,,,,,,
12-Aug,Oak Bay Parks,,Walbran Park,,Danika Off,,,,,,,
13-Aug,Yates,,,,,,,,,,,
14-Aug,S_ID_E_,,,,,,,,,,,
15-Aug,Yates,,Final Day at Yates Property - snacks and drinks with Carol and Morgan  on the patio in the afternoon,,,,,,,,,
16-Aug,,,,,,,,,,,,
17-Aug,,,,,,,,,,,,
18-Aug,,,,,,,,,,,,
19-Aug,Reginald Hill (Salt Spring),Nature Conservancy of Canada,,,,,,,,,,
20-Aug,Reginald Hill (Salt Spring),Nature Conservancy of Canada,,,,,,,,,,
21-Aug,Reginald Hill (Salt Spring),Nature Conservancy of Canada,,,,,,,,,,
22-Aug,Reginald Hill (Salt Spring),Nature Conservancy of Canada,,,,,,,,,,
23-Aug,Reginald Hill (Salt Spring),Nature Conservancy of Canada,,,,,,,,,,
24-Aug,,,,,,,,,,,,
25-Aug,,,,,,,,,,,,
26-Aug,,,,,,,,,,,,
27-Aug,Matson Conservation Area,,,,,,,,,,,
28-Aug,NCC Flex,Max Site Visits,,,,,,,,,,
28-Aug,Goldstream Park,,,,,,,,,,,
29-Aug,Goldstream Park,,,,,,,,,,,
30-Aug,W_Sêü_EM Ivy Project,,,,Hannah Off,,,,,,,
31-Aug,,,,,,,,,,,,
01-Sep,,,,,,,,,,,,
02-Sep,LABOUR DAY STAT,,,,,,,,,,,
03-Sep,HAT Other,,Funk Covenant (Bring stuff to swim in the lake),Max and Nina Joining,Hannah Off,,,,,,,
04-Sep,CGOP,Nature Conservancy of Canada,,,,,,,,,,
05-Sep,CGOP,Nature Conservancy of Canada,,,,,,,,,,
06-Sep,CGOP,Nature Conservancy of Canada,,,Chelsea off,,,,,,,
07-Sep,,,,,,,,,,,,
08-Sep,,,,,,,,,,,,
09-Sep,Matson Conservation Area,"Goldie to machanic, went to Matson instead ",,,,,,,,,,
10-Sep,CGOP,Nature Conservancy of Canada,,,,,,,,,,
11-Sep,Chase Woods,Nature Conservancy of Canada,,,,,,,,,,
12-Sep,Chase Woods,Nature Conservancy of Canada,,,,,,,,,,
13-Sep,Chase Woods,Nature Conservancy of Canada,,,,,,,,,,
14-Sep,,,,,,,,,,,,
15-Sep,,,,,,,,,,,,
16-Sep,Chase Woods,Nature Conservancy of Canada,,,,,,,,,,
17-Sep,S_ID_E_,,PHAT day,,,,,,,,,
18-Sep,Chase Woods,Nature Conservancy of Canada,,,,,,,,,,
19-Sep,Kindwood,Nature Conservancy of Canada,,,,,,,,,,
20-Sep,Havenwood,,,,,,,,,,,
21-Sep,,,,,,,,,,,,
22-Sep,Sunday: Maplebank Event,,,,,,,,,,,
23-Sep,Mt Tuam,ITC,Cusheon Lake Resort,,,,,,,,,
24-Sep,Mt Tuam,ITC,Cusheon Lake Resort,,,,,,,,,
25-Sep,Mt Tuam,ITC,Cusheon Lake Resort,,,,,,,,,
26-Sep,Mt Tuam,ITC,Cusheon Lake Resort,,,,,,,,,
27-Sep,W_Sêü_EM Ivy Project,Sarah Jim,,,,,,,,,,
28-Sep,,,,,,,,,,,,
29-Sep,,,,,,,,,,,,
30-Sep,TRUTH AND RECONCILIATION STAT,,,,Lauren Off,,,,,,,
01-Oct,Metchosin Mushroom Walk,Also Purple Sanicle Orientation,,,Lauren Off,,,,,,,
02-Oct,Purple Sanicle,Rod and Heidi,,,Lauren Off,,,,,,,
03-Oct,Purple Sanicle,Rod and Heidi,,,Lauren Off,,,,,,,
04-Oct,Purple Sanicle,Rod and Heidi,,,Lauren Off,,,,,,,
05-Oct,GOERT Conference,,,,,,,,,,,
06-Oct,,,,,,,,,,,,
07-Oct,Matson Conservation Area,HAT,Site Prep,,Lauren Off,,,,,,,
08-Oct,Matson Conservation Area,HAT,Seeding,,,,,,,,,
09-Oct,                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,,,,,,,
10-Oct,Matson Conservation Area,HAT,,,,,,,,,,
