ID,Site,Lat,Lng,Municipality,FirstNations,Park_Creation,HAT_Status,Date,Co_Covenant,Size_ha,Ecosystems,Funding,Volunteer_Stewardship
OHP,Oak Haven Park,48.56419,-123.44714,Central Saanich,WSANEC,1997,Co-Covenant,2004,Land Conservancy,10.2,,,
HP,Havenwood Park,48.41376,-123.50711,Colwood,"Songhees, Esquimalt, WSANEC, Beecher Bay, T'Sou-ke",2002,Co-Covenant,,City of Colwood,16.5,5 wetlands; 3 small streams; 7 bedrock outcroppings,,Friends of Havenwood Park
MCA,Matson Conservation Area,48.4293,-123.39538,Esquimalt,"Songhees, Esquimalt",,Donation by Mandalay Developments Ltd.,2004,Nature Conservancy of Canada; Township of Esquimalt,,Garry oak ecosystem,TD FEF; Sitka Foundation; Conservation Economic Stimulus Initiative; Habitat Conservation Trust Foundation; Environment and Climate Change Canada; Esquimalt Property Tax Exemption,Friends of Matson Lands
