Date,number of volunteers,hours,total hours,biomass removed,area cleared
27-Oct,12,2,24,2,150
28-Jul,4,2,8,2,100
23-Jun,4,2,8,2,80
26-May,5,2,10,3,100
21-Apr,12,2,24,8,120
31-Mar,5,2,10,3,90
