What,When,EventType,Where
Monitoring Cover,2025-04-02,Cover_Monitor,Oak Haven Park
Monitoring Cover,2025-04-03,Cover_Monitor,Oak Haven Park
Treating,2024-04-02,Treatment_Event,Oak Haven Park
