ID,Site,Site_Name,Partner_Code,Lat,Lng,Municipality,FirstNations,Type,Park_Creation,HAT_Status,Date,Co_Covenant,Size_ha,Ecosystems,Funding,Volunteer_Stewardship,URL,Top_5_Invasives,Hours_per_Biomass_2022,Hours_per_Biomass_2023,Hours_per_Biomass_2024,Hours_per_Biomass_2025,Crew_Hours_2022,Crew_Hours_2023,Crew_Hours_2024,Crew_Hours_2025,Biomass_2022,Biomass_2023,Biomass_2024,Biomass_2025,Area_2022,Area_2023,Area_2024,Area_2025,Site_Image
HP,Havenwood,Havenwood Park,HAT,48.41376,-123.50711,Colwood,"Songees, Esquimalt, WSANEC, Beecher Bay, T'Sou-ke",Municipal Park,2002,Co-Covenant,,City of Colwood,16.5,5 wetlands; 3 small streams; 7 bedrock outcroppings; forests,,Friends of Havenwood Park,https://hat.bc.ca/havenwoodpark,"Himalayan blackberry, Scotch broom",NA,5,12,,,75,30,,,15,2.5,,,200,342,,https://raw.githubusercontent.com/WendyAnthony/WendyAnthony.github.io/refs/heads/master/HAT/images/Havenwood-HAT-web-ss.gif
MCA,Matson,Matson Conservation Area,HAT,48.4293,-123.39538,Esquimalt,"Songees, Esquimalt",Conservation ,,Donation by Mandalay Developments Ltd.,2004,Nature Conservancy of Canada; Township of Esquimalt,,Garry oak ecosystem,TD FEF; Sitka Foundation; Conservation Economic Stimulus Initiative; Habitat Conservation Trust Foundation; Environment and Climate Change Canada; Esquimalt Property Tax Exemption,Friends of Matson Lands,https://hat.bc.ca/matson,"daphne, English ivy, Himalayan blackberry, Scotch broom",29.7,28.1,43.4,47.6,270,1262,490.5,266.5,9.1,44.9,11.3,5.6,335,1531.4,3342.2,1299.9,https://raw.githubusercontent.com/WendyAnthony/WendyAnthony.github.io/refs/heads/master/HAT/images/Matson-HAT-web-ss.gif
OHP,Oak Haven,Oak Haven Park,HAT,48.56419,-123.44714,Central Saanich,WSANEC,Park,1997,Co-Covenant,2004,Land Conservancy,10.2,Garry oak ecosystem,,Friends of Oak Haven Park,https://hat.bc.ca/oakhavenpark,"daphne, English ivy, Himalayan blackberry, Scotch broom, shiny geranium",9.1,16.9,43.4,70.8,952.5,627.5,282,297.5,105,37.1,6.5,4.2,17355.2,2879.9,1041,1035.2,https://raw.githubusercontent.com/WendyAnthony/WendyAnthony.github.io/refs/heads/master/HAT/images/OakHaven-HAT-web-ss.gif
